Principal Component 1:
    Feature: we_tib, Weight: 0.05633870496893016
    Feature: psqi_5e, Weight: 0.056338704968930155
    Feature: $100,000 - $200,000, Weight: 0.05626453264951565
    Feature: psqi_5h, Weight: 0.055001198641848395
    Feature: we_bts, Weight: 0.05443791479834108
    Feature: Multiracial, Weight: 0.05007537826018968
    Feature: we_se, Weight: 0.04956763951192786
    Feature: wake_decimal_time, Weight: 0.04956763951192786
    Feature: we_tfa, Weight: 0.04683855332786816
    Feature: psqi_5j, Weight: 0.046290070443863664
    Feature: msfsc1, Weight: 0.04565038945294658
    Feature: psqi_c1, Weight: 0.04544476593438468
    Feature: sex, Weight: 0.04075096322314829
    Feature: psqi_c2, Weight: 0.03899545888070708
    Feature: psqi_9, Weight: 0.03896432690197852
    Feature: psqi_11e, Weight: 0.038495421878331104
    Feature: subs_alc_20to23, Weight: 0.037056286678523835
    Feature: psqi_7, Weight: 0.036520824065810434
    Feature: Alcohol Never, Weight: 0.03632647234533015
    Feature: psqi_c7, Weight: 0.03520421343515986
    Feature: psqi_11c, Weight: 0.034826752492065204
    Feature: wd_sol, Weight: 0.034471257145140516
    Feature: wd_tob, Weight: 0.033309684774857636
    Feature: we_twt, Weight: 0.03237130842372423
    Feature: brisc_1, Weight: 0.03170160751281526
    Feature: psqi_11b, Weight: 0.03144328838470305
    Feature: psqi_11d, Weight: 0.029875275475062562
    Feature: hispanic, Weight: 0.02946992520104208
    Feature: sds_18, Weight: 0.024740847987769772
    Feature: wd_ttb, Weight: 0.024446000348916776
    Feature: we_tts, Weight: 0.023297708417906928
    Feature: psqi_total, Weight: 0.021739600871033785
    Feature: subs_alc_23to02, Weight: 0.021145643612565584
    Feature: wd_tib, Weight: 0.018204694459365227
    Feature: wd_ema, Weight: 0.017372668543480334
    Feature: Cannabis Never, Weight: 0.016856808156349514
    Feature: we_sq, Weight: 0.014831819399798867
    Feature: subs_caff_20to23, Weight: 0.014724146356155998
    Feature: Caffeine A few times a week, Weight: 0.014482048716847001
    Feature: >$200,000, Weight: 0.014406381750434015
    Feature: subs_can_20to23, Weight: 0.014382366924479428
    Feature: psqi_c6, Weight: 0.013888686351488422
    Feature: Tobacco Occasional Smoker, Weight: 0.013620101785367931
    Feature: Alcohol Daily, Weight: 0.013193044300051087
    Feature: Alcohol Once a month or less, Weight: 0.012850687905350051
    Feature: subs_alc_17to20, Weight: 0.012303369539851705
    Feature: sds_13, Weight: 0.011474455626021939
    Feature: ddnsi_5, Weight: 0.010865859927331698
    Feature: psqi_c4, Weight: 0.010619087913667094
    Feature: Caffeine Multiple times daily, Weight: 0.010201001861755443
    Feature: wd_sq, Weight: 0.009480512615602621
    Feature: wd_se, Weight: 0.009446432029161551
    Feature: subs_caff_23to02, Weight: 0.009056562767820511
    Feature: we_tst, Weight: 0.008952939054242699
    Feature: subs_tob_20to23, Weight: 0.008597602599534859
    Feature: Alcohol Once a week or less, Weight: 0.008349860959034528
    Feature: subs_tob_23to02, Weight: 0.00816017056136792
    Feature: subs_tob_17to20, Weight: 0.008155432631289178
    Feature: subs_can_14to17, Weight: 0.00813450339260927
    Feature: psqi_10, Weight: 0.007536129010649353
    Feature: college_educated, Weight: 0.0074750870886741375
    Feature: < $25,000, Weight: 0.007050218622890169
    Feature: subs_can_23to02, Weight: 0.006892749465650313
    Feature: psqi_5i, Weight: 0.0067900802302266385
    Feature: sds_25, Weight: 0.006770183373189244
    Feature: sds_12, Weight: 0.00674901139206532
    Feature: subs_can_17to20, Weight: 0.00660166922433175
    Feature: Cannabis Multiple times daily, Weight: 0.0062502286797004305
    Feature: Tobacco Never Smoker, Weight: 0.005788464481680291
    Feature: subs_alc_02to05, Weight: 0.005571424789080455
    Feature: subs_tob_05to08, Weight: 0.005130583024146049
    Feature: sds_21, Weight: 0.005034666670429437
    Feature: subs_caff_08to11, Weight: 0.00494194199149715
    Feature: subs_can_11to14, Weight: 0.0048512898493749375
    Feature: subs_can_08to11, Weight: 0.004803810096465545
    Feature: psqi_6, Weight: 0.004456743960113834
    Feature: Cannabis Once a week or less, Weight: 0.004387381056237727
    Feature: sds_14, Weight: 0.004303754647834382
    Feature: subs_tob_14to17, Weight: 0.004117308996322435
    Feature: Caffeine Daily, Weight: 0.004083717267673821
    Feature: subs_caff_14to17, Weight: 0.004003270891576533
    Feature: Caffeine Once a month or less, Weight: 0.0039447327149837105
    Feature: subs_caff_11to14, Weight: 0.0037351116454129633
    Feature: Cannabis Once a month or less, Weight: 0.0037202770851212153
    Feature: sds_16, Weight: 0.00367099950092594
    Feature: sds_20, Weight: 0.0036480887892577462
    Feature: Native, Weight: 0.00362669358873402
    Feature: ddnsi_2, Weight: 0.003498913635191206
    Feature: sds_17, Weight: 0.0032106422923148304
    Feature: sds_4, Weight: 0.003172786890618833
    Feature: subs_tob_02to05, Weight: 0.003115449455835386
    Feature: subs_can_02to05, Weight: 0.0029963342209416485
    Feature: Tobacco Former Smoker, Weight: 0.0027010542795415926
    Feature: subs_alc_14to17, Weight: 0.002287008454543522
    Feature: subs_tob_11to14, Weight: 0.0021175813898225964
    Feature: sds_15, Weight: 0.002080995920672694
    Feature: Caffeine Once a week or less, Weight: 0.0020102609924485494
    Feature: Alcohol Multiple times daily, Weight: 0.0019328791808944836
    Feature: Cannabis A few times a week, Weight: 0.0017914508905278442
    Feature: ddnsi_3, Weight: 0.0016980296459508809
    Feature: subs_caff_05to08, Weight: 0.001659569852773954
    Feature: Caffeine Never, Weight: 0.0014972789661246032
    Feature: subs_caff_17to20, Weight: 0.0013618706896658258
    Feature: sds_23, Weight: 0.0011253441001129148
